name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Jonas Svensson,Norway,Defender,right,170.0,TR1,Besiktas JK,1700000.0,5,0,1,3,2635,31
German Onugkha,Russia,Attack,right,193.0,DK1,Vejle Boldklub,1700000.0,4,0,7,0,1804,28
Gonçalo Sousa,Portugal,Attack,right,186.0,PO1,FC Porto,1700000.0,0,0,0,0,7,18
Jaloliddin Masharipov,Uzbekistan,Attack,right,172.0,GR1,Panserraikos,1700000.0,1,0,0,2,483,31
Queensy Menig,Netherlands,Attack,right,174.0,TR1,Sivasspor,1700000.0,0,0,2,1,810,29
Adolfo Gaich,Argentina,Attack,right,190.0,TR1,Caykur Rizespor,1700000.0,3,0,8,2,1818,25
Soner Dikmen,Türkiye,Midfield,right,179.0,TR1,Konyaspor,1700000.0,7,0,1,0,3219,31
Muhammed Şengezer,Türkiye,Goalkeeper,right,192.0,TR1,Basaksehir FK,1700000.0,0,0,0,0,1260,28
Hamza Rafia,Tunisia,Midfield,right,181.0,IT1,US Lecce,1700000.0,4,0,1,0,1285,25
Ilya Vakhania,Russia,Defender,both,178.0,RU1,FC Rostov,1700000.0,1,0,2,2,2434,24
Isak Jensen,Denmark,Attack,right,186.0,DK1,Viborg FF,1700000.0,0,0,3,2,1132,21
Daam Foulon,Belgium,Defender,left,180.0,BE1,KV Mechelen,1700000.0,7,0,2,2,2589,25
Marley Aké,France,Attack,right,178.0,IT1,Udinese Calcio,1600000.0,0,0,0,0,131,24
Taylan Antalyalı,Türkiye,Midfield,right,180.0,TR1,Samsunspor,1600000.0,3,0,2,1,1778,30
Philippe Keny,Senegal,Attack,right,190.0,TR1,Basaksehir FK,1600000.0,2,0,1,1,626,25
Ramzi Safuri,Israel,Midfield,right,183.0,TR1,Antalyaspor,1600000.0,6,0,0,10,1955,29
Ahmed Touba,Algeria,Defender,left,190.0,IT1,US Lecce,1600000.0,1,0,0,0,422,26
Louka Prip,Denmark,Attack,left,182.0,TR1,Konyaspor,1600000.0,1,0,8,1,1701,27
Younes Namli,Denmark,Attack,left,180.0,NL1,PEC Zwolle,1600000.0,5,0,4,8,2665,30
Gökhan Akkan,Türkiye,Goalkeeper,right,188.0,TR1,Caykur Rizespor,1600000.0,2,0,0,1,2730,30
Ali Kaan Güneren,Türkiye,Midfield,right,183.0,TR1,MKE Ankaragücü,1600000.0,1,0,1,1,1916,24
Duckens Nazon,Haiti,Attack,right,181.0,TR1,Kayserispor,1600000.0,3,1,2,1,1002,30
David Akintola,Nigeria,Attack,right,178.0,TR1,Caykur Rizespor,1600000.0,4,0,4,3,2281,29
Pedro Santos,Portugal,Midfield,right,183.0,PO1,FC Arouca,1500000.0,8,0,1,0,1480,24
Domingos Quina,Portugal,Midfield,right,173.0,IT1,Udinese Calcio,1500000.0,4,0,0,3,799,25
Samu,Portugal,Midfield,left,170.0,PO1,FC Vizela,1500000.0,7,0,5,2,2953,28
Amadou Diawara,Guinea,Midfield,right,183.0,BE1,RSC Anderlecht,1500000.0,1,0,0,0,594,27
Lasso Coulibaly,Cote d'Ivoire,Midfield,right,186.0,DK1,Randers FC,1500000.0,2,0,3,3,1583,22
Anton Shvets,Russia,Midfield,both,190.0,RU1,Akhmat Grozny,1500000.0,7,0,1,2,1058,31
Isak Hansen-Aarøen,Norway,Midfield,right,173.0,L1,SV Werder Bremen,1500000.0,1,0,0,0,25,20
Luke Chambers,England,Defender,left,181.0,GB1,Liverpool FC,1500000.0,0,0,0,0,138,20
László Kleinheisler,Hungary,Midfield,right,173.0,GR1,Panathinaikos FC,1500000.0,0,0,0,0,77,30
Evgeniy Kharin,Russia,Midfield,left,185.0,RU1,Akhmat Grozny,1500000.0,6,0,0,2,1151,29
Stefano Sabelli,Italy,Defender,right,176.0,IT1,Genoa CFC,1500000.0,5,0,0,1,2461,32
Kings Kangwa,Zambia,Midfield,right,170.0,BE1,KV Kortrijk,1500000.0,0,0,0,0,167,25
Maxime Dupé,France,Goalkeeper,right,188.0,FR1,OGC Nice,1500000.0,0,0,0,0,630,31
Joaquín Fernández,Spain,Defender,left,190.0,TR1,Trabzonspor,1500000.0,1,0,0,0,386,28
Bouna Sarr,Senegal,Defender,right,178.0,L1,Bayern Munich,1500000.0,0,0,0,1,204,33
Viktor Aleksandrov,Russia,Defender,right,187.0,RU1,FC Pari Nizhniy Novgorod,1500000.0,9,1,2,1,2518,22
Mamadou Sylla,Senegal,Attack,right,180.0,ES1,Deportivo Alavés,1500000.0,0,0,0,0,16,30
Xeber Alkain,Spain,Attack,right,174.0,ES1,Deportivo Alavés,1500000.0,2,0,3,2,554,27
Maxim Leitsch,Germany,Defender,left,189.0,L1,1.FSV Mainz 05,1500000.0,0,0,0,0,435,26
Filippo Missori,Italy,Defender,right,182.0,IT1,US Sassuolo,1500000.0,0,0,0,0,496,20
Sory Kaba,Guinea,Attack,right,189.0,DK1,FC Midtjylland,1500000.0,3,0,3,2,1272,29
Eduard Sarapiy,Ukraine,Defender,right,186.0,UKR1,SC Dnipro-1,1500000.0,10,2,2,4,2826,25
Eric Kahl,Sweden,Defender,left,181.0,DK1,Aarhus GF,1500000.0,7,0,0,2,1733,23
Jacob Christensen,Denmark,Midfield,right,180.0,L1,1.FC Köln,1500000.0,1,0,0,0,270,23
Cican Stankovic,Austria,Goalkeeper,right,187.0,GR1,AEK Athens,1500000.0,0,1,0,0,2487,32
Yegor Nazaryna,Ukraine,Midfield,right,183.0,UKR1,Shakhtar Donetsk,1500000.0,2,0,3,1,1092,27
Bartuğ Elmaz,Türkiye,Midfield,right,179.0,TR1,Sivasspor,1500000.0,3,0,0,1,751,21
Paul Akouokou,Cote d'Ivoire,Midfield,right,181.0,ES1,Real Betis Balompié,1500000.0,1,0,0,0,334,27
Alex Cochrane,England,Defender,left,173.0,SC1,Heart of Midlothian FC,1500000.0,8,0,0,6,2772,24
César Gelabert,Spain,Midfield,right,182.0,FR1,FC Toulouse,1500000.0,1,0,1,3,1018,24
Franco Cervi,Argentina,Attack,left,166.0,ES1,Celta de Vigo,1500000.0,2,0,0,1,716,30
Hördur Magnússon,Iceland,Defender,left,191.0,GR1,Panathinaikos FC,1500000.0,0,0,1,0,824,32
Gianluca Lapadula,Peru,Attack,left,178.0,IT1,Cagliari Calcio,1500000.0,3,0,4,1,1249,35
Léo Baptistão,Brazil,Attack,right,183.0,ES1,UD Almería,1500000.0,6,1,6,0,1910,32
Etienne Vaessen,Suriname,Goalkeeper,right,189.0,NL1,RKC Waalwijk,1500000.0,3,1,0,0,2645,29
Malcolm Ebiowei,England,Attack,left,185.0,BE1,RWD Molenbeek,1500000.0,1,0,0,1,144,21
Norman Bassette,Belgium,Attack,left,186.0,BE1,KV Mechelen,1500000.0,0,0,3,1,572,20
Iñigo Córdoba,Spain,Attack,left,178.0,NL1,Fortuna Sittard,1500000.0,3,0,4,2,2906,27
Ilay Camara,Belgium,Defender,right,174.0,BE1,RWD Molenbeek,1500000.0,6,0,3,5,1605,22
Josh Bowler,England,Attack,left,184.0,GB1,Nottingham Forest,1500000.0,1,0,0,0,90,25
Jan Vertonghen,Belgium,Defender,left,189.0,BE1,RSC Anderlecht,1500000.0,5,0,3,2,2426,37
Kevin Tshiembe,Denmark,Defender,both,186.0,DK1,Bröndby IF,1500000.0,1,1,0,1,961,27
Anosike Ementa,Denmark,Attack,right,202.0,DK1,Viborg FF,1500000.0,5,0,8,4,1691,22
Maxime Busi,Belgium,Defender,right,182.0,FR1,Stade Reims,1500000.0,1,0,0,0,158,25
Adam Masina,Morocco,Defender,left,191.0,IT1,Udinese Calcio,1500000.0,3,0,0,0,1148,31
Keylor Navas,Costa Rica,Goalkeeper,right,185.0,FR1,Paris Saint-Germain,1500000.0,0,0,0,0,360,38
Carlos Fernández,Spain,Attack,left,185.0,ES1,Real Sociedad,1500000.0,4,0,3,1,560,28
Aiden O'Neill,Australia,Midfield,right,178.0,BE1,Standard Liège,1500000.0,4,0,1,0,1500,26
Luis Segovia,Ecuador,Defender,left,182.0,BE1,RWD Molenbeek,1500000.0,2,0,1,0,1015,27
Rochinha,Portugal,Attack,right,169.0,TR1,Kasimpasa,1500000.0,1,0,0,0,182,29
Fedde Leysen,Belgium,Defender,left,191.0,BE1,Union Saint-Gilloise,1500000.0,2,0,0,0,428,21
Kobamelo Kodisang,South Africa,Attack,left,168.0,PO1,Moreirense FC,1500000.0,1,0,1,3,1711,25
Hakim Sahabo,Rwanda,Midfield,right,184.0,BE1,Standard Liège,1500000.0,0,0,0,0,472,19
Jessic Ngankam,Germany,Attack,right,184.0,L1,1.FSV Mainz 05,1500000.0,3,1,3,1,569,24
Aral Şimşir,Türkiye,Attack,right,167.0,DK1,FC Midtjylland,1500000.0,3,0,3,1,1886,22
Senne Lammens,Belgium,Goalkeeper,right,193.0,BE1,Royal Antwerp FC,1500000.0,0,0,0,0,90,22
Joe Hodge,Ireland,Midfield,right,172.0,GB1,Wolverhampton Wanderers,1500000.0,0,0,0,0,70,22
Núrio Fortuna,Angola,Defender,left,177.0,BE1,KAA Gent,1500000.0,2,1,0,0,576,29
Nikolay Rasskazov,Russia,Defender,right,178.0,RU1,Krylya Sovetov Samara,1500000.0,4,0,2,5,2170,27
Kewin,Brazil,Goalkeeper,right,189.0,PO1,Moreirense FC,1500000.0,1,0,0,0,2777,30
Theo Corbeanu,Canada,Attack,left,190.0,ES1,Granada CF,1500000.0,2,0,1,0,196,22
Jailson,Brazil,Midfield,right,187.0,ES1,Celta de Vigo,1500000.0,2,0,1,1,1050,29
Filipe Soares,Portugal,Midfield,right,180.0,GR1,PAOK Thessaloniki,1500000.0,2,0,0,1,267,25
Pelly Ruddock Mpanzu,DR Congo,Midfield,right,175.0,GB1,Luton Town,1500000.0,1,0,0,0,1235,30
Vyacheslav Grulev,Russia,Attack,left,190.0,RU1,Dynamo Moscow,1500000.0,0,0,4,3,725,25
Julien Le Cardinal,France,Defender,right,184.0,FR1,Stade Brestois 29,1500000.0,3,0,0,0,525,27
Ege Tıknaz,Türkiye,Midfield,right,193.0,TR1,Besiktas JK,1500000.0,4,0,0,1,767,20
Sandro Ramírez,Spain,Attack,right,174.0,ES1,UD Las Palmas,1500000.0,2,0,1,3,1819,29
Caleb Ekuban,Ghana,Attack,right,182.0,IT1,Genoa CFC,1500000.0,0,0,4,3,1169,30
Marco Sportiello,Italy,Goalkeeper,right,192.0,IT1,AC Milan,1500000.0,0,0,0,0,708,32
Jay Gorter,Netherlands,Goalkeeper,right,190.0,NL1,Ajax Amsterdam,1500000.0,0,0,0,0,1026,24
Alexander Jeremejeff,Sweden,Attack,right,192.0,GR1,Panathinaikos FC,1500000.0,1,0,7,0,349,31
Isaak Davies,Wales,Attack,right,175.0,BE1,KV Kortrijk,1500000.0,1,0,8,0,1742,23
Eduard Sobol,Ukraine,Defender,left,186.0,FR1,RC Strasbourg Alsace,1500000.0,0,0,0,0,342,29
Daniil Lesovoy,Russia,Attack,right,177.0,RU1,Dynamo Moscow,1500000.0,2,0,0,1,422,27
Rubén Alcaraz,Spain,Midfield,right,180.0,ES1,Cádiz CF,1500000.0,15,0,3,1,3188,33
Milan Djuric,Bosnia-Herzegovina,Attack,right,199.0,IT1,Hellas Verona,1500000.0,4,0,10,4,2554,34
Mathias Olesen,Luxembourg,Midfield,both,188.0,L1,1.FC Köln,1500000.0,2,0,0,1,227,23
Edward Chilufya,Zambia,Attack,right,171.0,DK1,FC Midtjylland,1500000.0,0,0,1,0,571,25
Karim Onisiwo,Austria,Attack,right,188.0,L1,1.FSV Mainz 05,1500000.0,1,0,1,3,1677,32
Fábio Ronaldo,Portugal,Attack,right,178.0,PO1,Rio Ave FC,1500000.0,3,0,1,6,2718,23
Dmitriy Vorobyov,Russia,Attack,right,185.0,RU1,FC Orenburg,1500000.0,4,0,8,1,2163,27
Mário Fernandes,Russia,Defender,right,189.0,RU1,Zenit St. Petersburg,1500000.0,1,0,0,0,925,34
Rafael Fernandes,Portugal,Defender,right,191.0,FR1,LOSC Lille,1500000.0,4,0,0,0,1013,22
Mohamed El Arouch,France,Midfield,right,166.0,FR1,Olympique Lyon,1500000.0,0,0,0,0,1,20
José Campaña,Spain,Midfield,right,179.0,ES1,UD Las Palmas,1500000.0,0,0,0,0,166,31
Nikola Cumic,Serbia,Attack,right,176.0,RU1,Rubin Kazan,1500000.0,3,0,1,4,1091,26
Danila Prokhin,Russia,Defender,right,186.0,RU1,FC Orenburg,1500000.0,8,0,0,0,1294,23
Daan Heymans,Belgium,Midfield,right,189.0,BE1,R Charleroi SC,1500000.0,7,0,1,2,1667,25
Tochi Chukwuani,Denmark,Midfield,right,187.0,DK1,Lyngby BK,1500000.0,4,0,3,2,2063,21
Marco Kana,Belgium,Midfield,right,182.0,BE1,KV Kortrijk,1500000.0,5,0,0,0,1326,22
Davy van den Berg,Netherlands,Midfield,left,185.0,NL1,PEC Zwolle,1500000.0,7,0,5,2,2649,25
Koffi Kouao,Cote d'Ivoire,Defender,right,173.0,FR1,FC Metz,1500000.0,2,0,0,2,863,26
Cheick Oumar Konaté,Mali,Defender,right,173.0,FR1,Clermont Foot 63,1500000.0,4,0,1,1,1068,20
Emre Gökay,Türkiye,Attack,left,181.0,TR1,Sivasspor,1500000.0,0,0,0,0,84,18
Julian Justvan,Germany,Midfield,left,177.0,L1,TSG 1899 Hoffenheim,1500000.0,1,0,3,2,1099,26
Viktor Kovalenko,Ukraine,Midfield,right,182.0,IT1,FC Empoli,1500000.0,1,0,2,1,606,29
Youssef Maziz,France,Midfield,right,175.0,FR1,FC Metz,1500000.0,4,0,5,6,1716,26
Younès Belhanda,Morocco,Midfield,right,175.0,TR1,Adana Demirspor,1500000.0,8,0,3,4,1592,34
Marco Ilaimaharitra,Madagascar,Midfield,right,178.0,BE1,R Charleroi SC,1500000.0,8,1,4,1,2138,29
Álex Fernández,Spain,Midfield,right,183.0,ES1,Cádiz CF,1500000.0,3,0,0,1,1367,32
Felix Beijmo,Sweden,Defender,right,185.0,DK1,Aarhus GF,1500000.0,5,0,3,4,2410,27
Grejohn Kyei,France,Attack,right,187.0,FR1,Clermont Foot 63,1500000.0,1,0,2,1,1020,29
İrfan Can Eğribayat,Türkiye,Goalkeeper,right,193.0,TR1,Fenerbahce,1500000.0,1,0,0,0,540,26
Christophe Hérelle,Martinique,Defender,right,191.0,FR1,FC Metz,1500000.0,4,1,0,0,1620,32
Nathaniel Clyne,England,Defender,right,175.0,GB1,Crystal Palace,1500000.0,0,0,0,0,1487,33
Filip Djuricic,Serbia,Midfield,right,181.0,GR1,Panathinaikos FC,1500000.0,7,0,4,4,1525,33
Marko Lazetić,Serbia,Attack,right,192.0,NL1,Fortuna Sittard,1500000.0,1,0,0,0,176,21
Manu,Portugal,Midfield,right,190.0,PO1,Vitória Guimarães SC,1500000.0,5,0,2,0,1864,23
Samuel Grandsir,France,Attack,right,170.0,FR1,Le Havre AC,1500000.0,4,1,1,0,586,28
Egor Pogostnov,Russia,Defender,right,198.0,RU1,Lokomotiv Moscow,1500000.0,1,0,1,0,427,20
Selim Amallah,Morocco,Midfield,right,185.0,ES1,Valencia CF,1500000.0,5,0,0,1,742,28
Steffen Tigges,Germany,Attack,left,194.0,L1,1.FC Köln,1500000.0,0,0,3,0,736,26
Diego Rico,Spain,Defender,left,183.0,ES1,Getafe CF,1500000.0,10,0,0,7,2720,31
César Tárrega,Spain,Defender,right,194.0,ES1,Valencia CF,1500000.0,0,0,0,0,97,22
Chaka Traorè,Cote d'Ivoire,Attack,right,175.0,IT1,AC Milan,1500000.0,0,0,2,0,101,20
Denis Genreau,Australia,Midfield,right,175.0,FR1,FC Toulouse,1500000.0,0,0,0,0,524,25
Aleksey Gritsaenko,Russia,Defender,right,186.0,RU1,Rubin Kazan,1500000.0,7,0,1,2,2835,29
Darko Todorovic,Bosnia-Herzegovina,Defender,right,175.0,RU1,Akhmat Grozny,1500000.0,5,1,1,2,2666,27
Sergio Araujo,Argentina,Attack,right,180.0,GR1,AEK Athens,1500000.0,3,0,3,0,906,33
Adrián Marín,Spain,Defender,left,181.0,PO1,SC Braga,1500000.0,0,0,0,0,697,28
Sergio Córdova,Venezuela,Attack,right,188.0,TR1,Alanyaspor,1500000.0,3,1,3,2,1563,27
Carlos Benavidez,Uruguay,Midfield,right,185.0,ES1,Deportivo Alavés,1500000.0,6,0,4,1,1392,26
Oleksandr Andriyevskyi,Ukraine,Midfield,left,179.0,UKR1,Dynamo Kyiv,1500000.0,4,0,1,4,1436,30
Evgeniy Latyshonok,Russia,Goalkeeper,right,189.0,RU1,Baltika Kaliningrad,1500000.0,4,0,0,0,2948,26
Maksym Dyachuk,Ukraine,Defender,right,185.0,UKR1,Dynamo Kyiv,1500000.0,4,0,1,1,1558,21
Vito van Crooij,Netherlands,Attack,right,179.0,NL1,Sparta Rotterdam,1500000.0,1,0,0,1,263,29
Óscar de Marcos,Spain,Defender,right,182.0,ES1,Athletic Bilbao,1500000.0,6,0,1,6,2680,35
Pablo Galdames,Chile,Midfield,right,176.0,IT1,Genoa CFC,1500000.0,1,0,0,0,196,28
Oday Dabbagh,Palestine,Attack,left,183.0,BE1,R Charleroi SC,1500000.0,1,0,4,2,1472,26
Randy Nteka,Angola,Midfield,left,189.0,ES1,Rayo Vallecano,1500000.0,5,0,2,1,831,27
Konstantinos Laifis,Cyprus,Defender,left,186.0,BE1,Standard Liège,1500000.0,2,0,1,0,1682,31
Diego Valencia,Chile,Attack,right,185.0,GR1,Atromitos Athens,1500000.0,7,0,2,4,1872,25
Pedro Pereira,Portugal,Defender,right,185.0,IT1,AC Monza,1500000.0,3,0,0,2,831,27
Andrey Langovich,Russia,Defender,right,180.0,RU1,FC Rostov,1500000.0,4,1,1,1,1618,21
Masaya Okugawa,Japan,Attack,both,177.0,L1,FC Augsburg,1500000.0,0,0,0,0,30,28
Pedro Álvaro,Portugal,Defender,right,187.0,PO1,GD Estoril Praia,1500000.0,7,1,0,2,2137,24
Mory Gbane,Cote d'Ivoire,Midfield,right,188.0,PO1,Gil Vicente FC,1500000.0,7,0,1,0,1912,24
Darlin Yongwa,Cameroon,Defender,left,177.0,FR1,FC Lorient,1500000.0,3,0,1,1,1152,24
Kazeem Olaigbe,Belgium,Attack,right,178.0,BE1,Cercle Brugge,1500000.0,0,0,3,0,596,22
George Pușcaș,Romania,Attack,right,188.0,IT1,Genoa CFC,1500000.0,0,0,0,1,283,28
Ugochukwu Iwu,Armenia,Midfield,right,177.0,RU1,Rubin Kazan,1500000.0,4,0,1,0,2366,25
Romário Baró,Portugal,Midfield,right,179.0,PO1,FC Porto,1500000.0,1,0,0,0,371,25
Joel Asoro,Sweden,Attack,right,176.0,FR1,FC Metz,1500000.0,2,0,3,2,966,25
Julian Rijkhoff,Netherlands,Attack,right,183.0,NL1,Ajax Amsterdam,1500000.0,0,0,0,0,63,20
Maxime Dominguez,Switzerland,Midfield,left,173.0,PO1,Gil Vicente FC,1500000.0,8,0,6,4,2351,29
Raúl Albiol,Spain,Defender,right,190.0,ES1,Villarreal CF,1500000.0,7,0,0,1,2221,39
Christian Bassogog,Cameroon,Attack,left,173.0,TR1,MKE Ankaragücü,1500000.0,2,0,2,0,919,29
Fede San Emeterio,Spain,Midfield,right,176.0,ES1,Cádiz CF,1500000.0,1,1,2,0,200,27
Mehmet Aydın,Türkiye,Defender,right,180.0,TR1,Trabzonspor,1500000.0,2,0,0,0,1288,23
Mikel Villanueva,Venezuela,Defender,left,190.0,PO1,Vitória Guimarães SC,1500000.0,1,0,0,0,667,31
Kilian Fischer,Germany,Defender,both,182.0,L1,VfL Wolfsburg,1500000.0,1,0,0,0,291,24
Simon Kjær,Denmark,Defender,right,191.0,IT1,AC Milan,1500000.0,1,0,0,1,1465,35
Francis Coquelin,France,Midfield,right,177.0,ES1,Villarreal CF,1500000.0,6,0,0,0,1146,33
Aleksandr Selikhov,Russia,Goalkeeper,right,190.0,RU1,Spartak Moscow,1500000.0,2,0,0,0,855,30
Loizos Loizou,Cyprus,Attack,left,168.0,NL1,SC Heerenveen,1500000.0,0,0,0,0,340,21
Nemanja Jovic,Serbia,Attack,right,178.0,PO1,GD Estoril Praia,1500000.0,0,0,0,0,13,22
Gonzalo Escalante,Argentina,Midfield,right,182.0,ES1,Cádiz CF,1500000.0,2,1,1,2,1811,31
Ole Pohlmann,Germany,Midfield,right,183.0,L1,Borussia Dortmund,1500000.0,0,0,0,0,52,23
Kialonda Gaspar,Angola,Defender,right,193.0,PO1,CF Estrela Amadora,1500000.0,9,0,1,0,2440,27
Eli Dasa,Israel,Defender,right,177.0,RU1,Dynamo Moscow,1500000.0,2,0,0,2,1716,32
Elbasan Rashani,Kosovo,Attack,left,181.0,FR1,Clermont Foot 63,1500000.0,4,2,2,1,1176,31
João Rêgo,Portugal,Midfield,right,182.0,PO1,SL Benfica,1500000.0,0,0,0,0,5,19
Pierre Kunde,Cameroon,Midfield,right,180.0,GR1,Atromitos Athens,1500000.0,2,1,0,3,1788,29
Manu Vallejo,Spain,Attack,right,167.0,ES1,Girona FC,1500000.0,0,0,0,0,11,27
Lucas Lund,Denmark,Goalkeeper,right,195.0,DK1,Viborg FF,1500000.0,1,0,0,0,1665,24
Amath Ndiaye,Senegal,Attack,right,173.0,ES1,RCD Mallorca,1500000.0,3,0,0,0,620,28
Emiliano Marcondes,Denmark,Midfield,right,182.0,SC1,Hibernian FC,1500000.0,3,0,2,0,1046,29
Vitor Hugo,Brazil,Defender,left,187.0,GR1,Panathinaikos FC,1500000.0,0,0,0,0,608,33
Marcus Coco,Guadeloupe,Attack,right,184.0,FR1,FC Nantes,1500000.0,2,0,1,0,1489,28
Pieter Gerkens,Belgium,Midfield,right,179.0,BE1,KAA Gent,1500000.0,1,0,4,2,1117,29
Manuel Gulde,Germany,Defender,right,184.0,L1,SC Freiburg,1500000.0,6,0,1,0,2714,34
Mortadha Ben Ouanes,Tunisia,Defender,left,182.0,TR1,Kasimpasa,1500000.0,8,0,6,5,3001,30
Étienne Camara,France,Midfield,left,191.0,IT1,Udinese Calcio,1500000.0,2,0,0,0,428,21
Tom Lacoux,France,Midfield,right,182.0,PO1,FC Famalicão,1500000.0,1,0,0,0,364,23
João Silva,Portugal,Defender,right,187.0,BE1,KV Kortrijk,1500000.0,4,0,0,0,2562,26
Rodinei,Brazil,Defender,right,177.0,GR1,Olympiacos Piraeus,1500000.0,5,0,3,5,2842,33
Adrian Beck,Germany,Midfield,right,186.0,L1,1.FC Heidenheim 1846,1500000.0,1,0,3,1,1068,27
Yanis Hamache,Algeria,Defender,left,177.0,PO1,FC Arouca,1500000.0,0,0,0,0,41,25
Kévin N'Doram,France,Midfield,right,184.0,FR1,FC Metz,1500000.0,4,0,0,2,1604,29
Matija Nastasic,Serbia,Defender,left,188.0,ES1,RCD Mallorca,1500000.0,9,0,2,0,2678,31
Beni Baningime,DR Congo,Midfield,right,178.0,SC1,Heart of Midlothian FC,1500000.0,3,0,0,1,2176,26
Denis Suárez,Spain,Midfield,right,176.0,ES1,Villarreal CF,1500000.0,0,0,0,0,160,31
Danny Armstrong,Scotland,Attack,left,175.0,SC1,Kilmarnock FC,1500000.0,9,0,8,11,2928,27
Alberto Brignoli,Italy,Goalkeeper,left,188.0,GR1,Panathinaikos FC,1500000.0,2,0,0,0,1880,33
Gonçalo Paciência,Portugal,Attack,right,184.0,ES1,Celta de Vigo,1500000.0,2,0,3,1,644,30
André Luis,Brazil,Attack,right,184.0,PO1,Moreirense FC,1500000.0,4,0,7,2,1425,30
Robin Olsen,Sweden,Goalkeeper,right,196.0,GB1,Aston Villa,1500000.0,0,0,0,0,540,35
Juan Cruz,Spain,Attack,left,180.0,ES1,Real Betis Balompié,1500000.0,3,0,0,1,2192,24
Ilya Agapov,Russia,Defender,left,193.0,RU1,CSKA Moscow,1500000.0,1,0,2,2,1588,24
Ross McCausland,Northern Ireland,Attack,right,183.0,SC1,Rangers FC,1500000.0,0,0,2,3,1602,21
Gustavo Assunção,Brazil,Midfield,right,178.0,PO1,FC Famalicão,1500000.0,5,0,0,0,618,24
Nikolay Kalinskiy,Russia,Midfield,right,180.0,RU1,FC Pari Nizhniy Novgorod,1500000.0,6,0,7,5,2504,31
Tim Siersleben,Germany,Defender,left,187.0,L1,1.FC Heidenheim 1846,1500000.0,1,0,0,0,1044,24
Toni Villa,Spain,Attack,right,172.0,ES1,Girona FC,1500000.0,0,0,0,0,11,30
Mihajlo Banjac,Serbia,Midfield,left,186.0,RU1,FC Krasnodar,1500000.0,3,0,0,2,740,25
Miguel Rubio,Spain,Defender,right,191.0,ES1,Granada CF,1500000.0,5,0,1,0,1561,26
Victor Lind,Denmark,Attack,left,176.0,DK1,Vejle Boldklub,1500000.0,0,0,0,0,170,21
Simone Bastoni,Italy,Midfield,left,181.0,IT1,FC Empoli,1500000.0,3,0,1,0,777,28
Sam Larsson,Sweden,Attack,right,180.0,TR1,Antalyaspor,1500000.0,1,0,5,1,2572,31
Duk,Cape Verde,Attack,right,182.0,SC1,Aberdeen FC,1500000.0,5,0,4,5,1842,24
Alessio Cragno,Italy,Goalkeeper,right,184.0,IT1,US Sassuolo,1500000.0,0,0,0,0,480,30
Rúben Vezo,Portugal,Defender,right,182.0,GR1,Olympiacos Piraeus,1500000.0,1,0,0,0,153,30
Djibril Sidibé,France,Defender,right,183.0,GR1,AEK Athens,1500000.0,3,1,1,0,1622,32
Sven van Beek,Netherlands,Defender,right,189.0,NL1,SC Heerenveen,1500000.0,3,0,1,2,2779,30
Josip Radosevic,Croatia,Midfield,right,180.0,DK1,Bröndby IF,1500000.0,4,0,2,1,1275,30
Benno Schmitz,Germany,Defender,right,182.0,L1,1.FC Köln,1500000.0,5,0,1,2,1361,30
Étienne Capoue,France,Midfield,right,189.0,ES1,Villarreal CF,1500000.0,9,0,2,2,1973,36
Yoann Salmier,French Guiana,Defender,right,188.0,FR1,Le Havre AC,1500000.0,3,0,1,1,1569,32
Christopher Lenz,Germany,Defender,left,180.0,L1,RB Leipzig,1500000.0,1,0,0,0,234,30
Quaresma,Brazil,Defender,left,181.0,PO1,FC Arouca,1500000.0,2,0,0,2,564,28
Davide Faraoni,Italy,Defender,right,180.0,IT1,Hellas Verona,1500000.0,5,0,0,2,995,33
Marius Mouandilmadji,Chad,Attack,right,190.0,TR1,Samsunspor,1500000.0,5,1,9,2,2093,27
Weverson,Brazil,Defender,left,185.0,PO1,FC Arouca,1500000.0,4,0,1,1,2149,24
Kirill Kravtsov,Russia,Midfield,right,187.0,RU1,FC Sochi,1500000.0,8,0,4,0,2330,22
Younes Taha,Morocco,Midfield,left,176.0,NL1,Twente Enschede FC,1500000.0,2,0,3,1,485,22
Enea Mihaj,Albania,Defender,right,186.0,PO1,FC Famalicão,1500000.0,5,0,0,0,1560,26
Valon Ethemi,North Macedonia,Attack,right,179.0,TR1,Istanbulspor,1500000.0,4,0,2,5,1993,27
Tobias Bech,Denmark,Attack,left,189.0,DK1,Aarhus GF,1500000.0,4,0,7,0,1983,22
Pelle van Amersfoort,Netherlands,Attack,right,195.0,NL1,SC Heerenveen,1500000.0,3,0,13,1,2265,28
Kieran Dowell,England,Midfield,left,183.0,SC1,Rangers FC,1500000.0,0,0,2,0,476,27
Hugo Álvarez,Spain,Attack,right,176.0,ES1,Celta de Vigo,1500000.0,1,0,1,1,886,21
Rodolfo Pizarro,Mexico,Midfield,right,179.0,GR1,AEK Athens,1500000.0,3,0,0,1,725,30
Hidde ter Avest,Netherlands,Defender,right,182.0,NL1,FC Utrecht,1500000.0,2,0,0,1,2218,27
Yuki Soma,Japan,Attack,right,166.0,PO1,Casa Pia AC,1500000.0,3,0,5,3,2084,27
